news_headline,news_article,news_category
I will eat ice-cream with you after the Tokyo Olympics: PM Modi to PV Sindhu ,"During an online interaction with India's Tokyo-bound athletes, PM Narendra Modi asked ace badminton player PV Sindhu if she was banned from eating ice-cream just like during the 2016 Rio Olympics. Sindhu said she couldn't eat a lot of ice-cream as she had to control her diet. PM then said, ""When you come back...I'll have ice-cream with you.""",sports
ICC don't want me to use 'The Universe Boss' sticker: Chris Gayle,"Talking about using just 'The Boss' sticker instead of 'The Universe Boss' sticker, West Indies' 41-year-old all-rounder Chris Gayle said, ""The ICC don't want me to use 'The Universe Boss' sticker so I've shortened it."" On being asked if the ICC have copyright over 'Universe Boss', Gayle jokingly added, ""I am the boss of cricket, not the ICC.""",sports
Fan's 2013 tweet predicting Italy's win over England in Euro 2020 goes viral,"A football fan's eight-year-old tweet correctly predicting Italy's win over England in the Euro 2020 final after a penalty shootout has gone viral on social media. However, the fan said he doesn't remember predicting the result and tweeted, ""WHY has someone found this, I don't even know what this is or what game I was presumably playing.""",sports
"F1 driver Lando's £40,000 watch stolen outside Wembley Stadium after Euro final","British-Belgian Formula One driver Lando Norris was robbed outside Wembley Stadium in London after attending the Euro 2020 final on Sunday. The 21-year-old had his personalised £40,000 watch stolen while he was going towards his car. McLaren F1 team revealed that a police investigation is underway and, although Lando was left unhurt, he is ""still in shock"" after the incident.",sports
Crawl back under your rock: UK PM to those racially abusing football players,"Condemning people who are racially abusing England players after the team's Euro 2020 final defeat against Italy, UK PM Boris Johnson said, ""I hope you will crawl back under the rock from which you emerged."" Black England players Bukayo Saka, Marcus Rashford and Jadon Sancho were racially abused after they failed to score in the penalty shootout in the final.",sports
"India to send 228 members to Tokyo Games, its largest-ever Olympic contingent","India will be sending a 228-strong contingent to the Tokyo Olympics, including 119 athletes, IOA President Narinder Batra said on Tuesday. This will be India’s largest-ever contingent of athletes at the Olympics. Out of the 119 athletes, 67 are male and 52 female participants, Batra said during Prime Minister Narendra Modi’s interaction with Olympic-bound athletes. ",sports
Was excited to show him what we've done: '83' maker on Yashpal's death,"Following the demise of former Indian cricketer Yashpal Sharma, '83' director Kabir Khan said, ""We received the news in the morning, and it's terrible and shocking."" ""I was really excited to show him what we've done with his character...it's sad we couldn't show him that part,"" he added. '83' is based on India's win in the 1983 Cricket World Cup. ",sports
History will never forget you: Jatin Sarna on Yashpal Sharma's death,"Actor Jatin Sarna took to Instagram to mourn the demise of former India cricketer Yashpal Sharma, whose role he plays in the upcoming movie '83, saying, ""History will never forget you."" Sarna also shared pictures of the 1983 World Cup-winning batsman with himself and the '83 team. ""The innings were still left...we had to watch the film together,"" Sarna added.",sports
Copa America Trophy to be minted as NFT,"Community-oriented platform Ethernity Chain has announced that it will mint the Copa America trophy as a non-fungible token (NFT) in association with the South American Football Confederation (CONMEBOL). Recently, Argentina beat Brazil 1-0 to win their 15th Copa America title. Four other digital collectibles, commemorating the football teams of Argentina and Brazil, are also being minted,.",sports
"Plenty still left in the tank: Gayle on becoming 1st to score 14,000 T20 runs","After becoming the first batsman to reach 14,000 runs in T20 cricket, West Indies batsman Chris Gayle said he still has ""plenty left in the tank"". ""I may give myself some target, say till up to 15 (thousand runs) now,"" he added. Gayle smashed 67(38) in their third T20I, helping WI chase down Australia's 141-run total in the 15th over.",sports
Djokovic 1st player to qualify for 2021 ATP Finals after Wimbledon win,"Novak Djokovic became first player to qualify for 2021 ATP Finals after the world number one tied Roger Federer and Rafael Nadal's record with his 20th Grand Slam at Wimbledon on Sunday. Djokovic secured his 14th qualification for the season finale after winning his third straight major of 2021. The tournament will be held from November 14-21 in Turin, Italy.",sports
PM Modi condoles demise of 1983 WC-winning batsman Yashpal Sharma,"Prime Minister Narendra Modi took to Twitter to condole the demise of former India batsman Yashpal Sharma, who was a part of India's 1983 World Cup-winning squad. ""Yashpal Ji was an inspiration for teammates, fans as well as budding cricketers. Anguished by his passing away,"" PM Modi wrote. Yashpal passed away aged 66 due to heart attack. ",sports
"I would've said, no way: Sampras on 3 players surpassing his Slam tally","Fourteen-time Grand Slam champion Pete Sampras said that he had never envisioned three players surpassing him on the Grand Slam leaderboard within two decades of his retirement. Roger Federer, was the first player to break Sampras' record when he won Wimbledon in 2009. Nadal and Djokovic broke American's tally with 2017 French Open and 2019 Australian Open title respectively.",sports
